Date,Cost,Category,Details,Tips,Out,In,Surp,Subtotal
2015/11/11,-72.3,购物,电信箱遮挡,,,,,
2015/11/11,-62.5,购物,沙发毯,,,,,
2015/11/13,-13.8,交通,滴滴打车,黑娃儿,,,,
2015/11/14,-500,娱乐,精灵射箭馆会员,凯德天府,,,,
2015/11/14,-18,餐饮,德克士,,,,,
2015/11/14,-38.7,餐饮,永辉超市,买菜,,,,
2015/11/15,-10,交通,停车费,,,,,
2015/11/15,-33,餐饮,咖啡,,,,,
2015/11/15,-142.6,购物,优衣库,衬衣*1,,,,
2015/11/16,-169,购物,京东,K480罗技蓝牙键盘,,,,
2015/11/16,-1200,其他,信用卡,,,,,
2015/11/17,-10,娱乐,亚马逊,沈从文文集,,,,
2015/11/18,-13,餐饮,,,,,,
2015/11/19,-10,交通,,,,,,
2015/11/19,-188,购物,松下eneloop充电电池,,,,,
2015/11/21,-20,交通,,,,,,
2015/11/22,-60,餐饮,,,,,,
2015/11/26,-14,餐饮,,,,,,
2015/11/27,-79,餐饮,,,,,,
2015/11/29,-27,餐饮,,,,,,
2015/12/1,-95,餐饮,韩国烤肉,,-5418.4,5640,221.6,
2015/12/2,-1021,购物,Levi's等,,,,,
2015/12/2,-13.8,购物,喷水壶,,,,,
2015/12/3,-29,餐饮,,,,,,
2015/12/4,-240.1,购物,Xbox one 手柄,,,,,
2015/12/5,-356,购物,小红书：膳魔师*2,,,,,
2015/12/5,-20,其他,转账,,,,,
2015/12/6,-15.9,购物,柠檬,,,,,
2015/12/6,-180,餐饮,米线、超市、蛋糕等,,,,,
2015/12/7,-2000,其他,转账,,,,,
2015/12/8,-120,其他,转账,,,,,
2015/12/8,-153.3,购物,A5 moleskine 亚马逊,,,,,
2015/12/9,-46,餐饮,汉堡王,,,,,
2015/12/9,-50,娱乐,网鱼网咖,,,,,
2015/12/12,-120,餐饮,,,,,,
2015/12/13,-80,餐饮,,,,,,
2015/12/14,-200,交通,加油,,,,,
2015/12/15,-17.6,交通,滴滴打车,,,,,
2015/12/16,-86.2,购物,天猫超市,,,,,
2015/12/17,-108,购物,小红书：插座*2,,,,,
2015/12/17,-50,娱乐,电影,寻龙诀,,,,
2015/12/18,-10,餐饮,,,,,,
2015/12/20,-90,餐饮,花里寿司,,,,,
2015/12/23,-63,餐饮,奥克斯,,,,,
2015/12/24,-50,餐饮,,,,,,
2015/12/27,-58,娱乐,电音,老炮儿,,,,
2015/12/29,-15.5,餐饮,,,,,,
2015/12/31,-130,电子类,迅雷会员1年,,,,,
